num_samples,dim,test_spearman,test_r2,simulated_annealing_improvement,simulated_annealing_nn_true_fitness,simulated_annealing_nn_percentile,genetic_algorithm_improvement,genetic_algorithm_nn_true_fitness,genetic_algorithm_nn_percentile,random_search_nn_true_fitness,greedy_hill_climb_nn_true_fitness,latent_bo_nn_true_fitness
1000,8,0.17535738393459838,-0.029745554883648495,1.1229682797285787,3.44926874748,57.25,1.1229682797285743,3.44926874748,57.25,3.44926874748,3.44926874748,3.80571663685
1000,16,0.2913117827945699,-0.0436698346501585,1.7773393237918835,3.39107764815,54.25,1.7107476052497752,3.5863677011900004,71.25,3.4693852940400003,4.03142173285,3.81836024891
1000,32,0.16770869271731798,-1.1149025121860006,10.965986290605082,3.793430861,96.25,10.965986290605077,3.793430861,96.25,3.73419818106,3.793430861,3.1904486521900006
1000,64,0.19630390759768995,-0.6241749080816426,7.795551732448539,3.5563201979900003,66.875,7.996700564233487,3.37200463251,53.0,3.70560316834,3.81836024891,1.30547039526
2000,8,0.16780379877374232,-0.02358815592790031,0.34435061655117005,3.5810599651,72.3125,0.3443506165511705,3.5810599651,72.3125,3.5810599651,3.42053308121,3.55263310715
2000,16,0.2565947912174451,0.008626791667111888,1.8550051165405894,3.70077655434,88.6875,1.855005116540576,3.70077655434,88.6875,3.7430036379,3.6011599659400004,1.33456293098
2000,32,0.23516003225020154,-0.29799829341861983,6.16517475286212,3.61066986257,75.75,6.783923186846167,2.80999450291,41.625,3.67535396531,2.80999450291,3.86668366764
2000,64,0.2248720304501903,-2.141179086282794,23.6580751758329,1.30103013031,9.6875,23.210716285052698,1.30170193661,18.0,2.70099908826,4.05922081536,1.30103080124
5000,8,0.23619423219423222,0.017238058014624635,0.9234213200362777,3.5450572949400003,65.75,0.9234213200362711,3.5450572949400003,65.75,3.5450572949400003,3.74364826643,3.64021788676
5000,16,0.28734818334818335,0.07591646472476077,1.8808214913013792,3.75515881854,93.95,1.8313509873079994,3.645594267130001,79.225,3.57322466715,3.5727307390199994,3.72233435955
5000,32,0.3381607221607222,0.08186433861220554,3.225536434814061,3.3884969796,53.65,2.9029696035209556,3.75535574733,93.975,3.6646361058,3.3884969796,3.35979468896
5000,64,0.3320574080574081,-0.4321044498837323,13.152653003324119,3.50379067889,61.05,11.868467936149582,3.42851343751,55.775,3.26647594409,3.60048456116,1.30102995921
10000,8,0.20875790968947744,-0.03511052168424755,0.7465049412178733,3.59539863492,72.375,0.7465049412178719,3.59539863492,72.375,3.59539863492,3.18841274605,3.45002048146
10000,16,0.30199608349902085,0.08221567997814316,1.1939144706406726,3.70957675311,89.175,1.1939144706406797,3.70957675311,89.175,3.70957675311,3.6118926279,1.42991007817
10000,32,0.3845832406458101,0.1451536263436517,3.4859192515490456,3.60251855547333,73.0375,3.4859192515490394,3.60251855547333,73.0375,3.80815456747,3.4662822253900005,1.30108330161
10000,64,0.41276230169057543,0.10063328391239257,7.677863447873905,1.30136117069,16.7625,7.127041579722491,3.55522442356,66.9125,1.5859328397,3.32387305042,3.652623085280002
