num_samples,dim,train_file,model,train_rmse,test_rmse,train_r2,test_r2,train_spearman,test_spearman
1000,8,train_gfp_1000_8.json,qubo,1.0323727471394641,1.0970831053199899,0.03707767126310646,-0.029745554883648495,0.26301608283762945,0.17535738393459838
1000,16,train_gfp_1000_16.json,qubo,0.9139133792900906,1.1044756098002304,0.24538008014200907,-0.0436698346501585,0.5013382130284579,0.2913117827945699
1000,32,train_gfp_1000_32.json,qubo,0.5780582428649927,1.5722432566675801,0.6981011967058111,-1.1149025121860006,0.7916959167123698,0.16770869271731798
1000,64,train_gfp_1000_64.json,qubo,3.614399686093636e-05,1.377815171470176,0.999999998819705,-0.6241749080816426,0.9986396853745084,0.19630390759768995
2000,8,train_gfp_2000_8.json,qubo,1.0452723759720808,1.0775366264397253,0.02670750022090318,-0.02358815592790031,0.2378391085309018,0.16780379877374232
2000,16,train_gfp_2000_16.json,qubo,0.9640093691736834,1.0604446469645512,0.1721589841719957,0.008626791667111888,0.40757073733231935,0.2565947912174451
2000,32,train_gfp_2000_32.json,qubo,0.7595488761229426,1.213406943797382,0.4860795716492925,-0.29799829341861983,0.6697811053832443,0.23516003225020154
2000,64,train_gfp_2000_64.json,qubo,0.0002342755101117045,1.8876251879137296,0.9999999511079537,-2.141179086282794,0.9971129119581688,0.2248720304501903
5000,8,train_gfp_5000_8.json,qubo,1.054278374137681,1.0525319521403906,0.00983685902567999,0.017238058014624635,0.24417838469864903,0.23619423219423222
5000,16,train_gfp_5000_16.json,qubo,0.9977560220060928,1.0206262641811163,0.11316081406989031,0.07591646472476077,0.3346925311057831,0.28734818334818335
5000,32,train_gfp_5000_32.json,qubo,0.8876549873843265,1.0173363255889496,0.2980849499796999,0.08186433861220554,0.5231107637569228,0.3381607221607222
5000,64,train_gfp_5000_64.json,qubo,0.5851502878800288,1.2705696318017732,0.6949781116910656,-0.4321044498837323,0.7750209555638097,0.3320574080574081
10000,8,train_gfp_10000_8.json,qubo,1.0591927377568313,1.0781742891509896,-0.0021994113234611312,-0.03511052168424755,0.23537602375587544,0.20875790968947744
10000,16,train_gfp_10000_16.json,qubo,1.005192729966031,1.0152334685322681,0.09738440604184517,0.08221567997814316,0.3198459436460304,0.30199608349902085
10000,32,train_gfp_10000_32.json,qubo,0.9116360729911979,0.9798049889147914,0.25758428220776386,0.1451536263436517,0.49460832854856773,0.3845832406458101
10000,64,train_gfp_10000_64.json,qubo,0.7257516425136602,1.0049952639140727,0.5294777021538382,0.10063328391239257,0.6976959615733744,0.41276230169057543
